Figura,area,perimeter,centroid,orientation,bbox,convex_area,convex_image,coords,eccentricity,equivalent_diameter,euler_number,extent,filled_area,filled_image,major_axis_length,minor_axis_length,orientation,solidity
Triángulo,125798.0,1946.190221775982,"(449.683126917757, 373.3248064357144)",-0.9416006226628193,"(149, 55, 721, 765)",126557.0,"[[False False False ... False  True  True]
 [False False False ...  True  True False]
 [False False False ...  True False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]","[[149 764]
 [150 762]
 [150 763]
 ...
 [719 300]
 [719 301]
 [720 301]]",0.9178240406376476,400.21367823775586,1,0.30975573722052596,125798.0,125798.0,698.4892406418378,277.29145806983126,-0.9416006226628193,0.9940027023396573
Triángulo,31252.0,1200.4751801064717,"(199.99548828874953, 408.1545181108409)",-1.4429189690432818,"(157, 225, 283, 750)",31813.0,"[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [ True  True  True ... False False False]
 [ True  True  True ... False False False]
 [ True  True  True ... False False False]]","[[157 250]
 [158 250]
 [158 251]
 ...
 [281 228]
 [281 229]
 [282 225]]",0.9792488337429274,199.4775231750768,1,0.4724414210128496,31252.0,31252.0,487.2863490656665,98.75422815252914,-1.4429189690432818,0.982365699556785
Triángulo,20172.0,677.1097397793778,"(258.67454887963515, 116.99534007535198)",-0.0388765152026455,"(124, 11, 375, 181)",20453.0,"[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ...  True  True  True]
 [False False False ...  True  True  True]
 [False False False ... False False  True]]","[[124 160]
 [125 160]
 [126 159]
 ...
 [372 179]
 [373 179]
 [374 180]]",0.681324545352923,160.26162390415774,1,0.4727443168502461,20172.0,20172.0,206.00252057065256,150.7900266315894,-0.0388765152026455,0.9862611841783602
Triángulo,178486.0,2065.308837333851,"(349.32795289266386, 338.0030086393331)",1.0213410364993236,"(0, 106, 541, 770)",179401.0,"[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [ True  True  True ... False False False]
 [ True  True  True ... False False False]
 [ True  True  True ... False False False]]","[[  0 139]
 [  1 139]
 [  1 140]
 ...
 [539 125]
 [539 126]
 [540 106]]",0.790589903646802,476.71315629170573,1,0.49686546555909405,178486.0,178486.0,669.9036686421251,410.2128212314259,1.0213410364993236,0.9948996939816389
Triángulo,1.0,0.0,"(143.0, 285.0)",0.7853981633974483,"(143, 285, 144, 286)",1.0,[[ True]],[[143 285]],0.0,1.1283791670955126,1,1.0,1.0,1.0,0.0,0.0,0.7853981633974483,1.0
Triángulo,85668.0,1588.7686860699232,"(606.6674137367512, 289.6668534341878)",-1.3891340694304977,"(457, 48, 777, 656)",86374.0,"[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False  True  True ... False False False]
 [ True  True  True ... False False False]
 [ True  True False ... False False False]]","[[457 166]
 [458 166]
 [458 167]
 ...
 [775  50]
 [775  51]
 [776  48]]",0.885169543948216,330.26638538969104,1,0.44031661184210524,85668.0,85668.0,532.4442767372411,247.72960797648437,-1.3891340694304977,0.9918262440086137
Triángulo,24086.0,786.3300858899106,"(430.6573113011708, 538.3653989869633)",-0.868178954035497,"(307, 404, 551, 669)",24403.0,"[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False  True  True ... False False False]
 [False  True  True ... False False False]
 [ True  True False ... False False False]]","[[307 543]
 [308 543]
 [309 542]
 ...
 [549 405]
 [549 406]
 [550 404]]",0.8188909975612501,175.12066604056508,1,0.3725023198267863,24086.0,24086.0,254.2111886210519,145.90427510646225,-0.868178954035497,0.9870097938778019
Triángulo,1.0,0.0,"(223.0, 551.0)",0.7853981633974483,"(223, 551, 224, 552)",1.0,[[ True]],[[223 551]],0.0,1.1283791670955126,1,1.0,1.0,1.0,0.0,0.0,0.7853981633974483,1.0
Triángulo,5843.0,374.2497833620557,"(364.9642307034058, 348.3301386274174)",-0.15921640775186024,"(285, 295, 411, 392)",6010.0,"[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ...  True  True False]
 [False False False ...  True  True  True]
 [False False False ...  True  True  True]]","[[285 359]
 [286 359]
 [287 358]
 ...
 [409 389]
 [409 390]
 [410 391]]",0.7254736906249979,86.25276030300454,1,0.4780723285877925,5843.0,5843.0,114.37083801665472,78.71571777478006,-0.15921640775186024,0.9722129783693844
Triángulo,1.0,0.0,"(136.0, 232.0)",0.7853981633974483,"(136, 232, 137, 233)",1.0,[[ True]],[[136 232]],0.0,1.1283791670955126,1,1.0,1.0,1.0,0.0,0.0,0.7853981633974483,1.0
